supplier_name,category,spend_2025_usd_m
Alumax Rolling Products,Aluminum can sheet,52.6
Western Cane & Sweetener Corp,Cane sugar,41.2
CanWest Container Corp,Finished aluminum cans,33.1
AgriSweet Processing LLC,High-fructose corn syrup,28.7
PolyOne Pacific Resins,PET resin,24.9
Valley Sun Fruit Concentrates,Fruit concentrate,19.4
Interstate Freight Partners,Contract freight (dry),17.6
ColdLink Carriers Inc,Contract freight (reefer),14.3
Evergreen Corrugated Supply,Corrugate & board,13.5
FlavorCraft Botanicals,Flavors & extracts,12.2
Pacific Citrus Cooperative,Citrus concentrate,11.8
SilicaSource Minerals,Glass raw materials,9.1
Summit Industrial Gases,Beverage-grade CO2,8.8
Northwest Cullet Supply,Recycled glass cullet,7.3
Cap & Closure Industries,Caps and closures,6.7
Cascade Malting Co.,Malted barley,6.2
LabelWorks Printing,Labels & shrink sleeves,5.9
TruckPro Fleet Services,Fleet maintenance,5.2
Bighorn Cleaning Systems,CIP & sanitation chemicals,4.8
Cascade Malting Company LLC,Brewing malts,3.9
Pacific Pallet Pool,Pallets & returnables,3.4
AquaPure Treatment Systems,Water treatment chemicals,2.6
Rainier Refrigeration Services,Refrigeration maintenance,2.1
Redpoint Uniforms Co.,Uniforms & PPE,1.9
Cascade Mechanical Contractors,HVAC & chiller service,1.8
Kestrel Security Co.,Security services,1.7
Foxglove Staffing Co.,Staffing services,1.7
Clearwater Equipment Co.,Equipment leasing,1.7
Larkspur Lab Co.,Lab services,1.6
Ironwood Marketing Co.,Marketing services,1.6
Riverstone Office Co.,Office supplies,1.5
Pacific Power Solutions,Electrical contracting,1.4
Sagebrush Insurance Co.,Insurance services,1.4
Silverbow Waste Co.,Waste hauling,1.3
Nighthawk Consulting Co.,Consulting services,1.3
Bridgeport Landscaping Co.,Landscaping,1.3
Tamarack Calibration Co.,Calibration services,1.3
Meridian Mro Co.,MRO supplies,1.1
Bluepine It Co.,IT services,1.1
Westgate Facilities Co.,Facilities services,1.1
Halcyon Catering Co.,Catering,1.1
Obsidian Printing Co.,Printing services,1.1
Stonegate Packaging Co.,Packaging film,1.0
Pinnacle Sensors Co.,Sensors & controls,1.0
Sundown Safety Co.,Safety equipment,1.0
Timberline Travel Co.,Travel services,0.9
Goldbeam Telecom Co.,Telecom,0.9
Quartzite Spare Co.,Spare parts,0.7
Juniper Legal Co.,Legal services,0.6
Madrona Training Co.,Training services,0.6
